epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,22,9120,414.545454545,1.69158714148
2,20,15020,751.0,1.43887784549
3,21,15200,723.80952381,1.38998007589
4,18,15320,851.111111111,1.27010081163
5,20,14260,713.0,1.34746342033
6,17,13700,805.882352941,1.27586702475
7,20,18200,910.0,1.25749276859
8,21,19360,921.904761905,1.23306348785
9,19,18920,995.789473684,1.16831437371
10,19,14600,768.421052632,1.26979374879
11,15,11560,770.666666667,1.15460037554
12,17,12940,761.176470588,1.18081385001
13,19,14460,761.052631579,1.30707904801
14,16,9520,595.0,1.07011523178
15,14,13060,932.857142857,1.21183996538
16,19,17760,934.736842105,1.21469071825
17,18,12280,682.222222222,1.1119544001
18,14,8120,580.0,1.15379044613
19,13,14700,1130.76923077,1.16548133309
20,17,9920,583.529411765,1.16416098231
21,17,17300,1017.64705882,1.16827211554
22,16,13640,852.5,1.2115880269
23,20,14280,714.0,1.08978624311
24,17,16180,951.764705882,1.1436015177
25,17,11100,652.941176471,1.10347146551
26,23,22300,969.565217391,1.10518492501
27,17,22540,1325.88235294,1.05141127592
28,17,13120,771.764705882,1.0484742571
29,19,17360,913.684210526,1.11623383803
30,21,30920,1472.38095238,1.04421985911
31,21,24140,1149.52380952,1.02890679959
32,14,15660,1118.57142857,1.09964097891
33,20,22200,1110.0,1.08817500085
34,18,16200,900.0,1.04206098987
35,19,16900,889.473684211,1.07416331172
36,17,15340,902.352941176,1.10145842509
37,16,13940,871.25,1.11048963749
38,19,13300,700.0,1.02043015609
39,19,18360,966.315789474,1.1459695283
40,20,13420,671.0,1.01999494399
41,21,37760,1798.0952381,1.12698595569
42,16,18560,1160.0,1.13439880696
43,16,27280,1705.0,1.09838301111
44,19,28670,1508.94736842,1.09194134857
45,16,17600,1100.0,1.17696509801
46,20,26100,1305.0,1.11184452252
47,18,20420,1134.44444444,1.13077043201
48,22,54710,2486.81818182,1.1452376591
49,16,15780,986.25,1.09436848382
50,23,55400,2408.69565217,1.07601816013
51,20,35430,1771.5,1.16540542362
52,22,54520,2478.18181818,1.18403053976
53,17,33960,1997.64705882,1.08042898387
54,20,35970,1798.5,1.23051379663
55,22,55580,2526.36363636,1.20529921917
56,21,54110,2576.66666667,1.14673462476
57,22,55230,2510.45454545,1.18213497486
58,21,40040,1906.66666667,1.22725690133
59,23,50140,2180.0,1.17017726671
60,25,82590,3303.6,1.1248407657
61,24,72430,3017.91666667,1.28329510268
62,21,37250,1773.80952381,1.2428986347
63,23,58340,2536.52173913,1.29537399302
64,18,39480,2193.33333333,1.22129665029
65,19,30640,1612.63157895,1.21038916343
66,28,83610,2986.07142857,1.21064622748
67,20,42310,2115.5,1.23112879318
68,22,57550,2615.90909091,1.35682598669
69,21,54350,2588.0952381,1.14282461836
70,24,78380,3265.83333333,1.38218402867
71,19,39720,2090.52631579,1.34880142903
72,25,66230,2649.2,1.33705973588
73,25,79940,3197.6,1.42620354156
74,23,43540,1893.04347826,1.36016222279
75,26,73440,2824.61538462,1.35730642446
76,23,60650,2636.95652174,1.33583138789
77,23,56730,2466.52173913,1.43171999389
78,23,43960,1911.30434783,1.42191458014
79,25,77170,3086.8,1.44100537158
80,25,75600,3024.0,1.38756198296
81,24,64480,2686.66666667,1.48802566358
82,27,85220,3156.2962963,1.39040611635
83,24,77930,3247.08333333,1.41150490226
84,23,69390,3016.95652174,1.31160773719
85,22,66590,3026.81818182,1.35150991985
86,22,65490,2976.81818182,1.41733394579
87,24,69190,2882.91666667,1.35756574512
88,25,75960,3038.4,1.39985442081
89,23,69870,3037.82608696,1.37311372778
90,22,62870,2857.72727273,1.45129512638
91,23,67050,2915.2173913,1.41761592963
92,22,54100,2459.09090909,1.44790783462
93,23,59110,2570.0,1.49485800988
94,24,79580,3315.83333333,1.44292140663
95,27,95620,3541.48148148,1.42321647204
96,21,64650,3078.57142857,1.450699527
97,24,62530,2605.41666667,1.58029678656
98,21,24080,1146.66666667,1.39928377815
99,24,55540,2314.16666667,1.45944074441
100,23,60920,2648.69565217,1.51550732782
