epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,22,17760,807.272727273,2.44388837846
2,20,14500,725.0,1.86597235643
3,22,14740,670.0,1.55252314706
4,16,13560,847.5,1.36914839714
5,20,15420,771.0,1.46951034779
6,18,14800,822.222222222,1.29255283981
7,20,16280,814.0,1.32258180284
8,17,11560,680.0,1.28451844814
9,18,13640,757.777777778,1.22792131981
10,19,20520,1080.0,1.21247584917
11,18,18340,1018.88888889,1.22330603059
12,16,20220,1263.75,1.18329118804
13,20,12160,608.0,1.14901237647
14,16,12040,752.5,1.25575711747
15,19,14540,765.263157895,1.12747070759
16,20,28040,1402.0,1.1078605149
17,15,12200,813.333333333,1.21477651459
18,16,11560,722.5,1.16153810184
19,18,17720,984.444444444,1.13784387003
20,21,24500,1166.66666667,1.13193025426
21,19,15020,790.526315789,1.11855860394
22,19,19600,1031.57894737,1.04453969141
23,17,11380,669.411764706,1.01123494785
24,17,19180,1128.23529412,1.14222690686
25,16,17220,1076.25,1.15154298962
26,16,15840,990.0,1.06714969533
27,12,10200,850.0,0.972617058204
28,15,11920,794.666666667,0.945701196101
29,21,27640,1316.19047619,1.04495087144
30,18,17920,995.555555556,0.989010480987
31,19,20520,1080.0,0.993821513215
32,14,10280,734.285714286,0.962160313353
33,18,12780,710.0,0.928109846776
34,13,13860,1066.15384615,0.927180829514
35,19,21680,1141.05263158,0.908990812451
36,20,19580,979.0,0.918533192798
37,17,20240,1190.58823529,0.916529328497
38,18,18380,1021.11111111,0.891980816089
39,17,23520,1383.52941176,0.904838524628
40,18,16220,901.111111111,0.855494716838
41,15,11740,782.666666667,0.903002144871
42,17,20480,1204.70588235,0.907211993448
43,21,28040,1335.23809524,0.841413857769
44,16,14080,880.0,0.858797319476
45,17,16760,985.882352941,0.868416573517
46,17,12380,728.235294118,0.866466126237
47,17,12620,742.352941176,0.858329238407
48,20,24320,1216.0,0.886365572261
49,19,16260,855.789473684,0.898747576438
50,21,26780,1275.23809524,0.865902727516
51,15,8800,586.666666667,1.03629655897
52,21,24580,1170.47619048,0.953089863937
53,16,12000,750.0,0.873416395588
54,15,10060,670.666666667,0.91407635536
55,16,10800,675.0,0.929463013541
56,19,15820,832.631578947,0.990675207973
57,17,14200,835.294117647,0.950152901402
58,16,14320,895.0,0.965161427287
59,18,14720,817.777777778,0.954222011017
60,20,22780,1139.0,0.904144107476
61,16,15340,958.75,0.963846477577
62,21,28200,1342.85714286,0.907207785118
63,16,12660,791.25,0.92185539607
64,17,11800,694.117647059,0.901247539241
65,16,11160,697.5,0.914952463713
66,20,16920,846.0,0.908932590364
67,22,26180,1190.0,0.933299112692
68,18,12240,680.0,0.941907444112
69,18,15860,881.111111111,0.933626766959
70,17,18840,1108.23529412,0.904395669829
71,22,44370,2016.81818182,0.920126050347
72,21,26480,1260.95238095,0.938099083174
73,23,49100,2134.7826087,0.92709971156
74,16,14960,935.0,0.98088439256
75,23,38920,1692.17391304,0.944884720044
76,19,25500,1342.10526316,0.99716078857
77,21,20460,974.285714286,0.927894502673
78,22,36820,1673.63636364,0.927797253802
79,21,22520,1072.38095238,0.977784620561
80,19,20440,1075.78947368,0.989027380291
81,21,41670,1984.28571429,1.02536688027
82,21,35460,1688.57142857,1.05190708015
83,19,34190,1799.47368421,1.04700437223
84,20,34040,1702.0,1.04283086003
85,23,63010,2739.56521739,1.01224270242
86,23,60300,2621.73913043,0.988344883826
87,20,26060,1303.0,1.07231704865
88,20,32610,1630.5,1.08316829559
89,21,48670,2317.61904762,1.03720320222
90,21,38480,1832.38095238,1.06488373391
91,20,53520,2676.0,1.07972603196
92,22,59550,2706.81818182,1.14710329571
93,23,62120,2700.86956522,1.11982767281
94,22,70860,3220.90909091,1.11526189712
95,23,67090,2916.95652174,1.16063014153
96,22,68800,3127.27272727,1.15830736041
97,24,73210,3050.41666667,1.13704053976
98,28,96430,3443.92857143,1.19849818684
99,26,85420,3285.38461538,1.19490131889
100,28,94820,3386.42857143,1.27376525079
