epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,22,11600,527.272727273,1.95195963949
2,20,14480,724.0,1.43366581353
3,19,11640,612.631578947,1.29827344638
4,17,11720,689.411764706,1.20496398255
5,15,13460,897.333333333,1.16521298811
6,21,10620,505.714285714,1.19164736513
7,18,12080,671.111111111,1.1340873269
8,19,13340,702.105263158,1.18272779159
9,14,10160,725.714285714,1.16726596708
10,20,13480,674.0,1.27122334656
11,15,10680,712.0,1.07575041123
12,13,8020,616.923076923,1.18677298265
13,15,10420,694.666666667,1.13107950034
14,18,12440,691.111111111,1.13406391161
15,19,13060,687.368421053,1.0974411475
16,19,14420,758.947368421,1.12729577273
17,18,13660,758.888888889,1.17987290658
18,22,22880,1040.0,1.07972321193
19,14,11880,848.571428571,1.17567990045
20,22,20180,917.272727273,1.11532013254
21,21,26600,1266.66666667,1.1442006373
22,19,19740,1038.94736842,1.0642637942
23,19,13740,723.157894737,1.02910097852
24,14,12960,925.714285714,1.09485682062
25,11,12740,1158.18181818,1.10960959833
26,16,16640,1040.0,1.06287098701
27,21,9160,436.19047619,1.0529753448
28,19,15220,801.052631579,1.07709224929
29,17,17520,1030.58823529,1.07910145864
30,17,14720,865.882352941,1.0370400699
31,19,18240,960.0,1.12590970384
32,15,15920,1061.33333333,1.04619980331
33,15,12160,810.666666667,1.11661795469
34,15,12170,811.333333333,1.0201537117
35,12,11360,946.666666667,1.05758479595
36,16,16360,1022.5,1.00779209414
37,17,12040,708.235294118,0.992995523373
38,12,10060,838.333333333,0.980066178488
39,19,19720,1037.89473684,0.962569392752
40,15,13660,910.666666667,1.10436545024
41,15,14200,946.666666667,0.988739377679
42,16,15320,957.5,1.13058388988
43,20,15800,790.0,1.16253469545
44,18,18840,1046.66666667,1.09257876669
45,19,13440,707.368421053,1.08342060705
46,17,14660,862.352941176,1.10281052344
47,15,13260,884.0,1.07446717655
48,15,13300,886.666666667,1.1018986817
49,19,17300,910.526315789,1.00563538893
50,16,18080,1130.0,1.05000205103
51,17,17080,1004.70588235,1.06156527383
52,20,19040,952.0,1.04817495653
53,14,25060,1790.0,1.15693047581
54,21,19720,939.047619048,1.08552678192
55,20,21260,1063.0,1.05342098917
56,18,15080,837.777777778,1.06657463482
57,16,13700,856.25,1.12090569153
58,17,15660,921.176470588,1.14034999057
59,16,15520,970.0,1.04730797496
60,19,17780,935.789473684,1.06028859311
61,20,17180,859.0,1.11197851751
62,19,24960,1313.68421053,1.0532976089
63,20,18940,947.0,1.01735482044
64,17,17200,1011.76470588,1.10337601582
65,22,23160,1052.72727273,1.05138388471
66,16,16500,1031.25,1.04039378301
67,17,14500,852.941176471,1.1018946928
68,17,15060,885.882352941,1.10440042512
69,15,19180,1278.66666667,1.10048444367
70,21,16560,788.571428571,1.05939422944
71,16,18240,1140.0,1.09265943572
72,19,24160,1271.57894737,1.12092204585
73,16,9980,623.75,1.16025110362
74,18,21700,1205.55555556,1.0489953131
75,21,31810,1514.76190476,1.08075406563
76,19,24700,1300.0,1.04678187484
77,19,20680,1088.42105263,1.13142002324
78,19,25120,1322.10526316,1.1421386969
79,22,19240,874.545454545,1.12764422039
80,15,17940,1196.0,1.13059219475
81,18,23780,1321.11111111,1.13708486124
82,19,16080,846.315789474,1.1151256827
83,17,13080,769.411764706,1.16617825929
84,23,31000,1347.82608696,1.10282115818
85,14,20960,1497.14285714,1.12982335403
86,20,23360,1168.0,1.11769564665
87,16,20800,1300.0,1.11701757047
88,15,28040,1869.33333333,1.07842810883
89,20,22880,1144.0,1.14442001539
90,9,21440,2382.22222222,1.13246474253
91,17,31780,1869.41176471,1.0505877725
92,21,39040,1859.04761905,1.11474008906
93,16,43780,2736.25,1.12875722185
94,22,53590,2435.90909091,1.18252866908
95,19,16460,866.315789474,1.14608910962
96,22,56200,2554.54545455,1.14754031506
97,19,39330,2070.0,1.16589128618
98,18,45170,2509.44444444,1.19107712251
99,20,54570,2728.5,1.18301001179
100,19,47160,2482.10526316,1.15442010975
