epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,9,1600,177.777777778,1.90998569617
2,14,1840,131.428571429,1.53587440436
3,14,1980,141.428571429,1.33799939862
4,11,1585,144.090909091,1.08261197875
5,1,30,30.0,1.02226376588
6,13,2055,158.076923077,0.918826538576
7,19,1880,98.9473684211,0.963658407573
8,13,1995,153.461538462,0.898851905428
9,21,2045,97.380952381,0.851432122393
10,15,1765,117.666666667,0.915246270048
11,5,695,139.0,0.796317203557
12,14,2050,146.428571429,0.829481084757
13,12,1915,159.583333333,0.818021636726
14,16,2240,140.0,0.699723415608
15,15,2205,147.0,0.79176742225
16,15,2265,151.0,0.760709305005
17,17,2350,138.235294118,0.777611577408
18,13,2090,160.769230769,0.735463135261
19,15,1760,117.333333333,0.768739332473
20,11,1655,150.454545455,0.732640353804
21,7,1085,155.0,0.750006586462
22,19,2095,110.263157895,0.799948170576
23,15,2275,151.666666667,0.71027024474
24,12,2110,175.833333333,0.730525530688
25,9,2200,244.444444444,0.77852944768
26,2,120,60.0,0.763687287355
27,12,2375,197.916666667,0.780532893548
28,8,1430,178.75,0.781213050112
29,16,2070,129.375,0.72055814011
30,15,2025,135.0,0.70405819918
31,6,2035,339.166666667,0.730011949576
32,9,2030,225.555555556,0.788249858301
33,15,2490,166.0,0.754243638068
34,3,655,218.333333333,0.75323289915
35,10,2460,246.0,0.698860401344
36,20,2235,111.75,0.717028865758
37,9,1485,165.0,0.743160506347
38,2,530,265.0,0.773005612604
39,14,2530,180.714285714,0.703527089069
40,12,1985,165.416666667,0.750518994406
41,10,2050,205.0,0.84415901348
42,15,1940,129.333333333,0.763097234089
43,12,2390,199.166666667,0.799944234546
44,13,1930,148.461538462,0.788871044759
45,15,2410,160.666666667,0.751835132055
46,15,2365,157.666666667,0.81440645148
47,15,2465,164.333333333,0.774360858602
48,16,2635,164.6875,0.70453597283
49,16,2445,152.8125,0.774581582751
50,8,2125,265.625,0.750010690866
51,8,1895,236.875,0.752525748583
52,17,2350,138.235294118,0.757036667354
53,12,2060,171.666666667,0.755172054293
54,19,2510,132.105263158,0.763450489538
55,17,1845,108.529411765,0.768970862236
56,13,2095,161.153846154,0.752128713103
57,13,1350,103.846153846,0.763954846747
58,12,2195,182.916666667,0.739484771304
59,13,2030,156.153846154,0.74411810481
60,13,1835,141.153846154,0.739278745912
61,9,3105,345.0,0.75083743467
62,12,1605,133.75,0.714801734108
63,4,715,178.75,0.713641285822
64,1,280,280.0,0.809915706851
65,11,1820,165.454545455,0.808293363228
66,13,2355,181.153846154,0.744575577043
67,20,2505,125.25,0.806750526372
68,14,2325,166.071428571,0.732443357492
69,15,2750,183.333333333,0.774085576441
70,14,2370,169.285714286,0.790509202974
71,13,3125,240.384615385,0.749364096811
72,15,2365,157.666666667,0.710530328667
73,13,2030,156.153846154,0.725997119742
74,13,2760,212.307692308,0.763023350555
75,3,835,278.333333333,0.734315539869
76,5,930,186.0,0.733578159465
77,15,2100,140.0,0.743819767497
78,11,3585,325.909090909,0.723939012354
79,14,2500,178.571428571,0.745448001046
80,20,1955,97.75,0.737502712235
81,18,2570,142.777777778,0.777206226429
82,20,2260,113.0,0.761169991558
83,15,2420,161.333333333,0.704017855292
84,17,2610,153.529411765,0.748496032227
85,15,3045,203.0,0.767813757677
86,13,1945,149.615384615,0.734699874464
87,6,2215,369.166666667,0.721805355316
88,21,2125,101.19047619,0.760796398958
89,15,2615,174.333333333,0.775828407528
90,12,1995,166.25,0.741243583141
91,2,295,147.5,0.749913947182
92,13,3120,240.0,0.742162426561
93,14,1665,118.928571429,0.713482140545
94,9,1485,165.0,0.753418768886
95,16,2570,160.625,0.750179886194
96,15,2235,149.0,0.788979394715
97,4,515,128.75,0.790493780747
98,8,2105,263.125,0.744413461629
99,18,2980,165.555555556,0.766642416827
100,9,980,108.888888889,0.771284762416
