epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,13,1890,145.384615385,1.54755497914
2,10,2180,218.0,1.3038424689
3,20,1670,83.5,1.17636551634
4,15,2100,140.0,1.09844783152
5,12,1440,120.0,1.08484628203
6,6,440,73.3333333333,0.95814255055
7,18,1870,103.888888889,0.880947908266
8,16,2260,141.25,0.865950857606
9,16,2060,128.75,0.742545153825
10,17,1875,110.294117647,0.838950036792
11,16,1905,119.0625,0.823715586662
12,14,1880,134.285714286,0.831434280118
13,12,2150,179.166666667,0.808237594012
14,13,2075,159.615384615,0.733443800863
15,17,2135,125.588235294,0.745699936328
16,1,70,70.0,0.734501354769
17,18,1970,109.444444444,0.752894585459
18,19,2165,113.947368421,0.792765263664
19,11,1555,141.363636364,0.760489608832
20,12,2160,180.0,0.789368299693
21,23,2100,91.3043478261,0.741667833608
22,13,2470,190.0,0.734850195413
23,17,2315,136.176470588,0.783301226785
24,15,1745,116.333333333,0.720192941856
25,14,3055,218.214285714,0.701300987797
26,14,2105,150.357142857,0.753346837815
27,8,1625,203.125,0.76401414983
28,14,2195,156.785714286,0.746924952175
29,15,1985,132.333333333,0.777921107244
30,14,2175,155.357142857,0.746183344265
31,17,1745,102.647058824,0.739888236448
32,12,2240,186.666666667,0.732935855333
33,17,2580,151.764705882,0.732117381571
34,15,2160,144.0,0.776363807144
35,12,2415,201.25,0.767532860423
36,13,2990,230.0,0.729304210385
37,15,1845,123.0,0.760679754531
38,14,1735,123.928571429,0.728097331589
39,8,1795,224.375,0.734983048728
40,18,2010,111.666666667,0.695230965596
41,9,2005,222.777777778,0.753717888379
42,17,2280,134.117647059,0.731012732834
43,12,1810,150.833333333,0.698249564944
44,13,2130,163.846153846,0.791455825819
45,18,2270,126.111111111,0.742086224817
46,19,1950,102.631578947,0.740455429731
47,13,2295,176.538461538,0.722688446119
48,15,1965,131.0,0.723844973426
49,14,2345,167.5,0.72881484977
50,14,2145,153.214285714,0.717158432193
51,11,1385,125.909090909,0.735794642372
52,13,2400,184.615384615,0.745376339424
53,14,1955,139.642857143,0.785582542382
54,15,2180,145.333333333,0.775021499917
55,15,2330,155.333333333,0.71808202548
56,25,1985,79.4,0.741008826056
57,16,1885,117.8125,0.757809165595
58,21,2415,115.0,0.699571929406
59,13,2315,178.076923077,0.709208247475
60,15,2505,167.0,0.68490893174
61,20,1990,99.5,0.723960930193
62,12,2130,177.5,0.738695338592
63,21,2460,117.142857143,0.722973401649
64,11,1310,119.090909091,0.6987401482
65,16,2760,172.5,0.734848578386
66,16,2335,145.9375,0.723381047994
67,8,1860,232.5,0.739550979258
68,20,2385,119.25,0.78389299049
69,13,2285,175.769230769,0.683190890811
70,15,2485,165.666666667,0.750540605001
71,16,2915,182.1875,0.71549790198
72,16,2150,134.375,0.794056011941
73,21,1640,78.0952380952,0.72094488224
74,12,2080,173.333333333,0.72617991304
75,13,2015,155.0,0.776603036541
76,15,1920,128.0,0.716014411272
77,17,1910,112.352941176,0.694511908656
78,13,2345,180.384615385,0.689511589464
79,6,915,152.5,0.755289896876
80,16,2290,143.125,0.725660081655
81,19,2455,129.210526316,0.71040542908
82,14,2455,175.357142857,0.734294840973
83,15,1750,116.666666667,0.693878914369
84,15,2515,167.666666667,0.684237997653
85,20,2560,128.0,0.737962559965
86,16,1905,119.0625,0.721742431456
87,16,2345,146.5625,0.697305636471
88,14,2310,165.0,0.706842713347
89,11,1895,172.272727273,0.745190784298
90,21,1820,86.6666666667,0.68061096387
91,14,2410,172.142857143,0.735817262316
92,16,2390,149.375,0.697927903859
93,11,2405,218.636363636,0.688729942134
94,17,2275,133.823529412,0.682438714188
95,14,2390,170.714285714,0.697791104391
96,16,2350,146.875,0.682647762047
97,17,2390,140.588235294,0.764832602162
98,16,1705,106.5625,0.721617701435
99,11,2305,209.545454545,0.743691245439
100,12,2260,188.333333333,0.70220000132
