epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,17,2645,155.588235294,1.40808683369
2,16,3760,235.0,1.22847687057
3,16,3705,231.5625,1.22083095103
4,15,3165,211.0,1.048713742
5,14,3825,273.214285714,1.09110084111
6,17,2245,132.058823529,1.11054367363
7,14,4460,318.571428571,1.14736068981
8,17,4095,240.882352941,1.15009280969
9,15,4025,268.333333333,1.16825407878
10,16,5645,352.8125,1.16388091759
11,17,3780,222.352941176,1.20333796612
12,15,4615,307.666666667,1.0389205441
13,17,4310,253.529411765,1.05718756558
14,14,4150,296.428571429,1.10825859782
15,15,4405,293.666666667,1.09195829924
16,16,4520,282.5,1.26609989177
17,17,4230,248.823529412,1.25721572645
18,14,4670,333.571428571,1.07965442985
19,19,3475,182.894736842,1.23691259886
20,15,4835,322.333333333,1.12099268478
21,15,4915,327.666666667,1.17347660824
22,17,3650,214.705882353,1.10772540113
23,18,5065,281.388888889,1.24046353118
24,15,4875,325.0,1.17363493795
25,15,4740,316.0,1.31087079612
26,15,5435,362.333333333,1.19330080949
27,14,5255,375.357142857,1.46570633421
28,16,5005,312.8125,1.2662923135
29,16,4190,261.875,1.25901026667
30,16,5360,335.0,1.26191749763
31,15,4710,314.0,1.42290609382
32,17,4500,264.705882353,1.33039823249
33,17,5120,301.176470588,1.43182113004
34,17,5355,315.0,1.30692635671
35,17,5230,307.647058824,1.27066749304
36,19,4820,253.684210526,1.35553655303
37,15,4950,330.0,1.45916668008
38,14,4725,337.5,1.34979277464
39,16,5250,328.125,1.33725616269
40,15,5830,388.666666667,1.40224667423
41,15,5400,360.0,1.40176401169
42,14,5785,413.214285714,1.39498156064
43,14,5340,381.428571429,1.45555148043
44,15,5215,347.666666667,1.36179978556
45,17,5660,332.941176471,1.46048150836
46,15,6140,409.333333333,1.34063398637
47,19,6145,323.421052632,1.48739156649
48,19,6065,319.210526316,1.38256132289
49,16,5350,334.375,1.43161715404
50,17,5730,337.058823529,1.52317577926
51,16,5025,314.0625,1.36497552358
52,17,5605,329.705882353,1.5063624003
53,14,5970,426.428571429,1.47528673552
54,14,6405,457.5,1.39353283109
55,15,5755,383.666666667,1.52041478866
56,18,6005,333.611111111,1.38043567908
57,15,5265,351.0,1.52419226713
58,15,5800,386.666666667,1.42337805916
59,16,5715,357.1875,1.3920030167
60,15,6025,401.666666667,1.46302573605
61,15,5750,383.333333333,1.49584253386
62,17,5935,349.117647059,1.50659685482
63,15,5915,394.333333333,1.53177500577
64,15,5545,369.666666667,1.50313549823
65,17,5385,316.764705882,1.42575638105
66,17,5380,316.470588235,1.3715896781
67,18,5085,282.5,1.39444944475
68,14,6025,430.357142857,1.39619233797
69,17,5400,317.647058824,1.38230558453
70,16,6105,381.5625,1.33017662701
71,17,5510,324.117647059,1.28081559801
72,16,5440,340.0,1.49312439486
73,17,5715,336.176470588,1.41366560037
74,17,5985,352.058823529,1.44874897526
75,15,6485,432.333333333,1.38617205584
76,15,5425,361.666666667,1.34515304765
77,16,5895,368.4375,1.35788417131
78,13,4875,375.0,1.40253736658
79,17,6180,363.529411765,1.32141119091
80,13,6855,527.307692308,1.26189160077
81,15,5345,356.333333333,1.28126856006
82,14,5890,420.714285714,1.3185613238
83,14,5425,387.5,1.41314687648
84,15,5375,358.333333333,1.52477714119
85,14,6120,437.142857143,1.37766898733
86,14,6275,448.214285714,1.35163619182
87,16,5890,368.125,1.36092476999
88,16,5220,326.25,1.47857408535
89,15,5375,358.333333333,1.36517819868
90,16,5365,335.3125,1.346331017
91,16,5975,373.4375,1.39870608103
92,15,5915,394.333333333,1.41742194765
93,15,5950,396.666666667,1.35283753918
94,15,5420,361.333333333,1.34854465378
95,14,5340,381.428571429,1.39993039262
96,15,5965,397.666666667,1.2894038013
97,13,6270,482.307692308,1.334958394
98,15,6575,438.333333333,1.37871162736
99,16,6590,411.875,1.32763010724
100,17,6045,355.588235294,1.36676571582
