epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,16,2965,185.3125,1.11511405602
2,20,4490,224.5,1.28786938193
3,15,3045,203.0,0.994703879515
4,16,4120,257.5,0.96588460844
5,17,3675,216.176470588,0.914675571518
6,17,3260,191.764705882,1.01636691182
7,21,4190,199.523809524,0.87274057583
8,17,3490,205.294117647,0.893204616513
9,13,5255,404.230769231,0.925319563681
10,15,4515,301.0,0.964139861418
11,14,4855,346.785714286,0.895688957777
12,14,4950,353.571428571,0.962997548087
13,15,4235,282.333333333,0.963408571742
14,16,4870,304.375,0.991318836845
15,14,4065,290.357142857,0.880847148122
16,15,5805,387.0,1.01544436655
17,16,5515,344.6875,0.984210083755
18,15,5170,344.666666667,0.962091677273
19,15,4530,302.0,0.961541227438
20,14,5455,389.642857143,0.916416726941
21,15,5265,351.0,1.07857268691
22,15,3120,208.0,1.02754901788
23,15,4680,312.0,1.0044031743
24,18,3150,175.0,1.02044473851
25,16,4360,272.5,1.02902812609
26,16,5315,332.1875,1.02312456422
27,13,4885,375.769230769,1.05763918624
28,14,4980,355.714285714,1.06490524042
29,15,5100,340.0,0.990201625982
30,16,5115,319.6875,1.12983261281
31,13,5275,405.769230769,1.08643166635
32,16,5520,345.0,1.07008475346
33,13,5200,400.0,1.05583147041
34,19,5435,286.052631579,1.09972199525
35,20,4760,238.0,1.05490073525
36,16,5405,337.8125,1.04679509841
37,15,5200,346.666666667,1.06533149293
38,15,3735,249.0,1.07249613971
39,15,4470,298.0,1.09242686982
40,15,5460,364.0,1.06789583325
41,15,5185,345.666666667,1.07533638457
42,18,4940,274.444444444,1.06718684326
43,15,4325,288.333333333,1.23456574911
44,17,4780,281.176470588,1.04998139576
45,17,4530,266.470588235,1.12066425679
46,18,4640,257.777777778,1.15836634603
47,12,4945,412.083333333,1.154201874
48,17,5250,308.823529412,1.16577951313
49,16,5830,364.375,1.12473110652
50,18,5375,298.611111111,1.16846821278
51,13,6070,466.923076923,1.15343467449
52,15,5545,369.666666667,1.14158306428
53,15,4605,307.0,1.15414600373
54,13,5730,440.769230769,1.19944489351
55,13,5765,443.461538462,1.17492700865
56,16,5850,365.625,1.17673410695
57,17,5185,305.0,1.16609611251
58,15,5505,367.0,1.27486677953
59,16,4965,310.3125,1.24032683313
60,17,5755,338.529411765,1.2026390153
61,15,5745,383.0,1.25740952454
62,15,4995,333.0,1.21515192527
63,16,6180,386.25,1.25169033867
64,15,5025,335.0,1.1657527622
65,15,5405,360.333333333,1.20660133641
66,15,5810,387.333333333,1.25180056745
67,15,5760,384.0,1.26756703729
68,16,5450,340.625,1.17561345115
69,16,5955,372.1875,1.22668751996
70,14,5685,406.071428571,1.29575733222
71,15,5585,372.333333333,1.23951691221
72,14,6070,433.571428571,1.28595815999
73,15,5830,388.666666667,1.2389703105
74,17,5765,339.117647059,1.23897538117
75,17,5285,310.882352941,1.19311353801
76,14,6220,444.285714286,1.21595668987
77,17,5415,318.529411765,1.24085146312
78,17,5735,337.352941176,1.30327357543
79,15,6330,422.0,1.22770682126
80,14,5125,366.071428571,1.24803350576
81,14,5520,394.285714286,1.30727814348
82,14,5525,394.642857143,1.15438000517
83,16,6105,381.5625,1.18989138808
84,18,5735,318.611111111,1.19022561312
85,14,5720,408.571428571,1.20287209016
86,14,6170,440.714285714,1.22924404806
87,14,5835,416.785714286,1.2167934647
88,15,5770,384.666666667,1.24930102266
89,16,5470,341.875,1.19419084624
90,13,5715,439.615384615,1.16806860088
91,16,6095,380.9375,1.225128555
92,14,6295,449.642857143,1.24317987019
93,18,5670,315.0,1.16845294372
94,17,5645,332.058823529,1.20602181888
95,14,6105,436.071428571,1.1981670837
96,15,5195,346.333333333,1.15221074566
97,13,6165,474.230769231,1.1610189933
98,17,6100,358.823529412,1.17737670815
99,16,6190,386.875,1.18939675837
100,16,7115,444.6875,1.23185154661
