epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,19,14920,785.263157895,2.14717729543
2,16,13340,833.75,2.0136193424
3,21,15880,756.19047619,1.67796497947
4,19,15080,793.684210526,1.51413005801
5,21,16980,808.571428571,1.61464554842
6,20,21240,1062.0,1.56258385021
7,23,17720,770.434782609,1.457679377
8,18,15820,878.888888889,1.54793250921
9,14,17000,1214.28571429,1.27411805087
10,20,19700,985.0,1.33505842196
11,20,20240,1012.0,1.32203764691
12,19,15500,815.789473684,1.30229904779
13,17,17240,1014.11764706,1.37525847391
14,22,26720,1214.54545455,1.33443101029
15,19,19140,1007.36842105,1.22543859111
16,20,33550,1677.5,1.29106733314
17,16,18700,1168.75,1.32506602515
18,18,25610,1422.77777778,1.29530100823
19,18,18520,1028.88888889,1.17677146043
20,13,26720,2055.38461538,1.27220181311
21,18,25100,1394.44444444,1.2355288363
22,17,19600,1152.94117647,1.27808207915
23,17,32640,1920.0,1.32605760204
24,17,20740,1220.0,1.18953737029
25,19,39730,2091.05263158,1.28065586504
26,22,44070,2003.18181818,1.3040605898
27,23,53060,2306.95652174,1.17087541336
28,21,42320,2015.23809524,1.28721830175
29,21,61690,2937.61904762,1.20798303646
30,23,64610,2809.13043478,1.23533748048
31,23,56160,2441.73913043,1.14216090181
32,24,75510,3146.25,1.24679877648
33,24,76180,3174.16666667,1.27929906317
34,25,82260,3290.4,1.25406548571
35,25,85550,3422.0,1.34272141705
36,23,75010,3261.30434783,1.28125118221
37,23,59900,2604.34782609,1.30430461459
38,19,39850,2097.36842105,1.34945382894
39,24,75190,3132.91666667,1.48761902938
40,25,83480,3339.2,1.30344543741
41,26,78900,3034.61538462,1.31289514173
42,21,51800,2466.66666667,1.35975717993
43,21,62660,2983.80952381,1.46671446442
44,26,83900,3226.92307692,1.37083473112
45,26,72740,2797.69230769,1.34468935246
46,21,62380,2970.47619048,1.45430507298
47,25,77060,3082.4,1.4556735479
48,28,91370,3263.21428571,1.43250004495
49,25,76540,3061.6,1.37557746554
50,25,75380,3015.2,1.41100242037
51,22,55360,2516.36363636,1.47271087622
52,27,88430,3275.18518519,1.44610470075
53,22,58210,2645.90909091,1.41565068549
54,26,85850,3301.92307692,1.32320177355
55,24,70710,2946.25,1.48152444983
56,25,75690,3027.6,1.41439286963
57,27,92310,3418.88888889,1.42691358818
58,28,95070,3395.35714286,1.48211920651
59,24,67370,2807.08333333,1.39701110436
60,24,75100,3129.16666667,1.50305468558
61,23,67400,2930.43478261,1.45865353606
62,26,88150,3390.38461538,1.49255023622
63,25,85830,3433.2,1.44368320188
64,23,73960,3215.65217391,1.54746393326
65,23,69330,3014.34782609,1.50652583658
66,25,74180,2967.2,1.5286650192
67,25,80650,3226.0,1.52127135543
68,20,69280,3464.0,1.69585012469
69,23,66370,2885.65217391,1.47358040603
70,21,47310,2252.85714286,1.42210055908
71,24,64320,2680.0,1.57376324136
72,24,71150,2964.58333333,1.50285502765
73,20,50460,2523.0,1.63976491386
74,20,65790,3289.5,1.4957237714
75,24,86340,3597.5,1.41338534471
76,24,77190,3216.25,1.45900523609
77,27,95120,3522.96296296,1.49324274257
78,24,75780,3157.5,1.40172767688
79,24,73890,3078.75,1.37819699999
80,21,55360,2636.19047619,1.36229479467
81,27,99170,3672.96296296,1.53493488993
82,24,78140,3255.83333333,1.391663916
83,26,94450,3632.69230769,1.54975672031
84,22,52410,2382.27272727,1.5298390233
85,22,62190,2826.81818182,1.5363293921
86,24,79190,3299.58333333,1.50835227819
87,26,90830,3493.46153846,1.46860737463
88,26,86420,3323.84615385,1.45506181803
89,21,38220,1820.0,1.5146341829
90,23,78390,3408.26086957,1.48147070065
91,22,69330,3151.36363636,1.5363263239
92,24,75500,3145.83333333,1.49724547969
93,24,74100,3087.5,1.49813252047
94,28,100860,3602.14285714,1.58221947309
95,23,77030,3349.13043478,1.45083389549
96,24,83630,3484.58333333,1.57386171734
97,23,64900,2821.73913043,1.52253936442
98,18,28920,1606.66666667,1.58424953526
99,26,87750,3375.0,1.55767506365
100,23,73030,3175.2173913,1.35180619294
