epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,20,14960,748.0,2.73733019348
2,23,11280,490.434782609,2.18650126089
3,18,14220,790.0,1.96724418903
4,19,16780,883.157894737,1.85746000108
5,19,11620,611.578947368,1.75089469017
6,14,9620,687.142857143,1.57186808579
7,16,11620,726.25,1.48193655589
8,17,8680,510.588235294,1.35094570939
9,18,11400,633.333333333,1.48791855869
10,17,11700,688.235294118,1.39099037588
11,19,12320,648.421052632,1.38729041495
12,19,10200,536.842105263,1.30174409153
13,11,8780,798.181818182,1.31126375184
14,16,13940,871.25,1.35137589601
15,18,20180,1121.11111111,1.20044128165
16,18,23780,1321.11111111,1.28474981801
17,21,26880,1280.0,1.26784636101
18,22,25140,1142.72727273,1.2963998262
19,14,9020,644.285714286,1.31220587954
20,19,23760,1250.52631579,1.19301386115
21,20,22600,1130.0,1.12672887169
22,20,20320,1016.0,1.22344330194
23,17,15200,894.117647059,1.19191066493
24,18,19700,1094.44444444,1.15967343248
25,19,21320,1122.10526316,1.16831917586
26,15,13360,890.666666667,1.10518184152
27,19,16760,882.105263158,1.08224180647
28,19,23340,1228.42105263,1.04791620947
29,16,16540,1033.75,1.15130618591
30,23,34380,1494.7826087,1.06201582498
31,17,19080,1122.35294118,1.04879537399
32,18,19740,1096.66666667,1.07188934649
33,16,9200,575.0,1.0653925989
34,18,23560,1308.88888889,1.05201358477
35,16,18140,1133.75,1.03494482503
36,18,26330,1462.77777778,1.04011506707
37,19,20080,1056.84210526,0.991627456266
38,17,17400,1023.52941176,1.0224779814
39,20,21120,1056.0,1.05389617885
40,22,32560,1480.0,0.93624778741
41,21,26080,1241.9047619,1.0237151511
42,19,24120,1269.47368421,1.02399846056
43,20,25200,1260.0,0.983568441598
44,16,16320,1020.0,1.05656114705
45,21,33920,1615.23809524,1.02891841297
46,18,28800,1600.0,1.05626063178
47,20,24080,1204.0,1.03448697957
48,20,30640,1532.0,1.06870211581
49,22,41260,1875.45454545,1.05324800309
50,17,32580,1916.47058824,1.11489456313
51,19,45380,2388.42105263,1.15551008339
52,20,52940,2647.0,1.10234238339
53,17,37600,2211.76470588,1.12983059539
54,23,64900,2821.73913043,1.15846498668
55,23,65230,2836.08695652,1.19418143408
56,25,66990,2679.6,1.14227127477
57,24,75400,3141.66666667,1.16528687537
58,22,65020,2955.45454545,1.16444349483
59,23,67940,2953.91304348,1.17278267346
60,24,67800,2825.0,1.22588740582
61,23,67760,2946.08695652,1.23294388162
62,24,73160,3048.33333333,1.2329653611
63,22,73570,3344.09090909,1.21439966094
64,23,69800,3034.7826087,1.25853885183
65,23,70960,3085.2173913,1.22226492097
66,21,66260,3155.23809524,1.28615125218
67,21,65800,3133.33333333,1.28574866552
68,19,61050,3213.15789474,1.31601114438
69,22,69210,3145.90909091,1.33504694166
70,22,69900,3177.27272727,1.26914096862
71,20,67950,3397.5,1.33449212847
72,23,76040,3306.08695652,1.35931766641
73,21,64410,3067.14285714,1.32562705069
74,21,64160,3055.23809524,1.41765837972
75,22,74570,3389.54545455,1.44847370704
76,19,64740,3407.36842105,1.42324340805
77,22,60880,2767.27272727,1.51671029132
78,19,41760,2197.89473684,1.39283817506
79,22,71050,3229.54545455,1.45018674105
80,24,83470,3477.91666667,1.51740152953
81,22,66030,3001.36363636,1.51769856609
82,22,72580,3299.09090909,1.50347651443
83,23,57810,2513.47826087,1.3307716619
84,22,59080,2685.45454545,1.43824153465
85,20,59530,2976.5,1.41098467531
86,20,61560,3078.0,1.44254906216
87,22,43270,1966.81818182,1.47955954349
88,21,63630,3030.0,1.43542081675
89,21,63980,3046.66666667,1.42431588481
90,22,66920,3041.81818182,1.54948994117
91,21,72570,3455.71428571,1.41855435712
92,20,39420,1971.0,1.39113553896
93,22,64070,2912.27272727,1.34328564608
94,18,57350,3186.11111111,1.51811350626
95,23,72720,3161.73913043,1.36391097599
96,19,53230,2801.57894737,1.50414998434
97,23,71370,3103.04347826,1.4284226569
98,19,63560,3345.26315789,1.38829032581
99,23,72490,3151.73913043,1.52445990399
100,24,69880,2911.66666667,1.3989332314
