epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,22,17460,793.636363636,1.79151061103
2,20,16700,835.0,1.48441024323
3,22,17560,798.181818182,1.42714167687
4,23,20080,873.043478261,1.32835987727
5,19,15440,812.631578947,1.26924329704
6,20,17560,878.0,1.21076632842
7,20,14360,718.0,1.22819339981
8,22,27800,1263.63636364,1.1330296997
9,19,16740,881.052631579,1.24851790818
10,18,14880,826.666666667,1.2444243056
11,22,23620,1073.63636364,1.13639003395
12,19,19400,1021.05263158,1.14212769934
13,17,19080,1122.35294118,1.26123198424
14,19,12960,682.105263158,1.28715694284
15,20,15900,795.0,1.15585092592
16,17,16740,984.705882353,1.1362694334
17,17,16920,995.294117647,1.12271306922
18,23,30700,1334.7826087,1.13039578804
19,20,22200,1110.0,1.14890696634
20,21,34530,1644.28571429,1.0687851176
21,19,14640,770.526315789,1.12824905508
22,18,13680,760.0,1.03898195425
23,20,26180,1309.0,1.13141925832
24,22,31140,1415.45454545,1.11875076689
25,20,12720,636.0,1.14800592378
26,18,19780,1098.88888889,1.15303359861
27,20,17580,879.0,1.10335823165
28,22,37120,1687.27272727,1.02308306077
29,22,34090,1549.54545455,1.05760027443
30,20,23380,1169.0,1.04277380486
31,22,42520,1932.72727273,1.12588899141
32,20,28980,1449.0,1.18512837142
33,19,20360,1071.57894737,1.05495396448
34,18,21660,1203.33333333,1.09480742691
35,18,32490,1805.0,1.11149095668
36,19,17900,942.105263158,1.04959212258
37,22,59340,2697.27272727,1.12531627569
38,23,59440,2584.34782609,1.04132959012
39,22,61390,2790.45454545,1.12098838477
40,23,68320,2970.43478261,1.12108900064
41,23,63930,2779.56521739,1.19415832919
42,23,62500,2717.39130435,1.09169628018
43,24,74920,3121.66666667,1.15787420113
44,22,69440,3156.36363636,1.18669960254
45,24,65670,2736.25,1.1770804995
46,25,78210,3128.4,1.1632483629
47,27,69590,2577.40740741,1.22093096789
48,25,77140,3085.6,1.23752213651
49,24,69220,2884.16666667,1.19714231116
50,25,71130,2845.2,1.25925596723
51,25,77130,3085.2,1.12624821986
52,24,80100,3337.5,1.24296898839
53,25,74410,2976.4,1.27389953862
54,24,66800,2783.33333333,1.30990231219
55,26,82540,3174.61538462,1.25728078268
56,27,93330,3456.66666667,1.32367132237
57,24,64430,2684.58333333,1.29403486503
58,29,95090,3278.96551724,1.25856899383
59,26,82110,3158.07692308,1.22746173802
60,26,77800,2992.30769231,1.33669173967
61,27,73320,2715.55555556,1.30174676239
62,26,70950,2728.84615385,1.21159010588
63,25,72850,2914.0,1.28533865467
64,26,83710,3219.61538462,1.3102337596
65,26,82430,3170.38461538,1.29805613861
66,25,71060,2842.4,1.38530528781
67,27,82030,3038.14814815,1.41934555738
68,28,96500,3446.42857143,1.32555728409
69,25,69400,2776.0,1.34416385637
70,26,87490,3365.0,1.40837775012
71,25,80250,3210.0,1.42656822533
72,23,70820,3079.13043478,1.3683710207
73,25,75760,3030.4,1.26995969903
74,24,71920,2996.66666667,1.48315828137
75,24,71820,2992.5,1.44599044538
76,25,85090,3403.6,1.60844514078
77,22,59500,2704.54545455,1.45326514918
78,22,61200,2781.81818182,1.44435778623
79,25,77890,3115.6,1.4757044306
80,25,89740,3589.6,1.42753675056
81,23,64430,2801.30434783,1.4265476758
82,23,62960,2737.39130435,1.38665344467
83,26,85290,3280.38461538,1.37669840463
84,25,79540,3181.6,1.43134638375
85,21,44560,2121.9047619,1.3354680237
86,25,74090,2963.6,1.37079670641
87,21,61670,2936.66666667,1.42667549704
88,26,78070,3002.69230769,1.38348326134
89,25,80750,3230.0,1.36459832804
90,25,80260,3210.4,1.40781928364
91,25,81580,3263.2,1.37106596788
92,26,76510,2942.69230769,1.39813604854
93,25,80070,3202.8,1.45736912873
94,27,79730,2952.96296296,1.39309868522
95,25,75860,3034.4,1.44273882698
96,22,68240,3101.81818182,1.48005104823
97,25,73020,2920.8,1.43150765056
98,21,64450,3069.04761905,1.50870647898
99,23,66050,2871.73913043,1.45860641759
100,25,78340,3133.6,1.44780716401
