epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,23,14000,608.695652174,2.44781793585
2,20,16400,820.0,1.99941138742
3,18,16580,921.111111111,1.60617148333
4,13,8340,641.538461538,1.73250314115
5,20,16680,834.0,1.35441889095
6,20,17300,865.0,1.31088371459
7,16,13100,818.75,1.44112861933
8,13,12040,926.153846154,1.33112938504
9,13,9980,767.692307692,1.35771369854
10,19,15820,832.631578947,1.31696066064
11,17,15880,934.117647059,1.31432669022
12,19,26200,1378.94736842,1.24860864671
13,15,11720,781.333333333,1.23027593092
14,16,11820,738.75,1.25512996472
15,15,11580,772.0,1.24934316917
16,16,18120,1132.5,1.22774152226
17,18,15900,883.333333333,1.29982118948
18,13,14530,1117.69230769,1.2101080691
19,20,23520,1176.0,1.20852671808
20,17,22500,1323.52941176,1.2281321892
21,21,31950,1521.42857143,1.1518008511
22,15,12760,850.666666667,1.13576201901
23,19,16820,885.263157895,1.11335070825
24,20,14140,707.0,1.10041551515
25,23,32580,1416.52173913,1.03627483181
26,18,17600,977.777777778,1.11806015563
27,19,22030,1159.47368421,0.981035551084
28,17,28340,1667.05882353,1.03691420888
29,16,14100,881.25,0.995164921898
30,16,11620,726.25,1.0628353004
31,19,27470,1445.78947368,0.995422806777
32,19,17540,923.157894737,1.07413065009
33,17,13880,816.470588235,0.943867365671
34,18,22080,1226.66666667,0.988887204193
35,18,27540,1530.0,0.944371302249
36,21,40830,1944.28571429,0.941493872004
37,18,22520,1251.11111111,0.96840121449
38,17,18380,1081.17647059,0.89900028239
39,19,17900,942.105263158,0.907334022289
40,18,17380,965.555555556,0.940561520737
41,18,26960,1497.77777778,0.965592090739
42,19,24500,1289.47368421,1.03630686703
43,19,29180,1535.78947368,0.974419657653
44,16,12780,798.75,0.988365317043
45,21,27260,1298.0952381,0.948168573752
46,19,32020,1685.26315789,0.9563001021
47,20,37470,1873.5,0.979861371992
48,12,14200,1183.33333333,1.06108159782
49,18,14980,832.222222222,0.9827567524
50,19,32020,1685.26315789,1.00744890708
51,17,21820,1283.52941176,0.971880872687
52,22,45620,2073.63636364,0.987034194516
53,20,28200,1410.0,1.03552983213
54,22,46850,2129.54545455,0.998257213132
55,22,61700,2804.54545455,1.10714911124
56,21,38680,1841.9047619,0.997733641984
57,21,42940,2044.76190476,1.0424230743
58,22,37380,1699.09090909,0.999037003471
59,23,63060,2741.73913043,1.05534482582
60,21,28040,1335.23809524,0.998079046672
61,24,57230,2384.58333333,1.01983747599
62,21,58700,2795.23809524,0.977402910395
63,20,43100,2155.0,1.09288055534
64,22,65490,2976.81818182,1.13129004953
65,23,65030,2827.39130435,1.05694023862
66,24,72450,3018.75,1.11579777495
67,20,38830,1941.5,1.13477230131
68,24,68760,2865.0,1.16561663781
69,23,74790,3251.73913043,1.16510325503
70,23,72640,3158.26086957,1.14724681537
71,22,60810,2764.09090909,1.20533277863
72,23,65940,2866.95652174,1.21399881132
73,24,68580,2857.5,1.16868739207
74,22,49070,2230.45454545,1.19190848355
75,20,47490,2374.5,1.21376907379
76,24,61720,2571.66666667,1.17727329093
77,27,90140,3338.51851852,1.15450911221
78,24,77060,3210.83333333,1.2438534652
79,23,72380,3146.95652174,1.23635697811
80,24,68650,2860.41666667,1.21818589551
81,21,60130,2863.33333333,1.257498546
82,25,77500,3100.0,1.24106061634
83,19,45450,2392.10526316,1.26406791108
84,23,62460,2715.65217391,1.34580786888
85,21,66170,3150.95238095,1.24701186988
86,22,61960,2816.36363636,1.40347128431
87,24,69660,2902.5,1.35213239298
88,20,49850,2492.5,1.28879827332
89,23,55980,2433.91304348,1.31371950458
90,19,38770,2040.52631579,1.33937476994
91,23,61280,2664.34782609,1.40482857774
92,21,40200,1914.28571429,1.29657211341
93,23,61190,2660.43478261,1.2968634996
94,27,85470,3165.55555556,1.27390917294
95,25,66750,2670.0,1.2565128375
96,25,69360,2774.4,1.32250406024
97,25,73760,2950.4,1.29083351258
98,27,93550,3464.81481481,1.34197766852
99,22,47480,2158.18181818,1.36604335292
100,25,86500,3460.0,1.32885426519
