epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,17,13460,791.764705882,1.95103218045
2,21,14860,707.619047619,1.69980549044
3,16,11560,722.5,1.56158860323
4,20,20320,1016.0,1.81945177991
5,20,17800,890.0,1.47108347433
6,17,13040,767.058823529,1.58870085392
7,21,17480,832.380952381,1.27635673417
8,16,13140,821.25,1.41279168027
9,22,20880,949.090909091,1.33907422185
10,22,21140,960.909090909,1.34436600799
11,17,18360,1080.0,1.36400372848
12,16,17200,1075.0,1.28783911509
13,21,35260,1679.04761905,1.31887457271
14,18,30580,1698.88888889,1.42036786933
15,21,36220,1724.76190476,1.26172556879
16,18,20700,1150.0,1.23864980309
17,19,38670,2035.26315789,1.32161709367
18,20,36080,1804.0,1.29463525613
19,21,40870,1946.19047619,1.2847067448
20,21,41080,1956.19047619,1.19270015202
21,24,65420,2725.83333333,1.25713563231
22,20,42850,2142.5,1.23759084971
23,24,64400,2683.33333333,1.25085376281
24,14,18200,1300.0,1.32322033925
25,19,39460,2076.84210526,1.16151252497
26,24,70660,2944.16666667,1.36285161764
27,18,34490,1916.11111111,1.38799431181
28,21,53430,2544.28571429,1.2455096127
29,23,65300,2839.13043478,1.34325710153
30,24,73510,3062.91666667,1.28606034765
31,26,83580,3214.61538462,1.29308254924
32,23,68700,2986.95652174,1.27684405386
33,24,75940,3164.16666667,1.32925470404
34,24,68860,2869.16666667,1.30840784785
35,24,69150,2881.25,1.32007629801
36,26,85090,3272.69230769,1.42084374232
37,26,77460,2979.23076923,1.3166599426
38,27,90230,3341.85185185,1.32285142997
39,29,101930,3514.82758621,1.41350687375
40,25,62310,2492.4,1.38363918864
41,25,73270,2930.8,1.40916870378
42,25,71980,2879.2,1.4655089885
43,26,79470,3056.53846154,1.37501306847
44,26,83740,3220.76923077,1.3984917633
45,26,88040,3386.15384615,1.56515780393
46,24,69920,2913.33333333,1.46324930916
47,24,77350,3222.91666667,1.43740997314
48,23,72550,3154.34782609,1.54086462829
49,24,73430,3059.58333333,1.470395421
50,23,71050,3089.13043478,1.38770930238
51,24,67740,2822.5,1.4303813141
52,21,55410,2638.57142857,1.49480478937
53,24,70960,2956.66666667,1.33778601337
54,23,63260,2750.43478261,1.45982562622
55,25,82700,3308.0,1.48843667963
56,24,84330,3513.75,1.48292424153
57,26,92480,3556.92307692,1.50317333429
58,26,80750,3105.76923077,1.42221293258
59,24,79130,3297.08333333,1.51717388375
60,26,93180,3583.84615385,1.53030262797
61,25,87660,3506.4,1.51429976534
62,25,78360,3134.4,1.47009660902
63,23,62260,2706.95652174,1.53156943873
64,24,73330,3055.41666667,1.51170947021
65,22,64600,2936.36363636,1.49835077072
66,24,76740,3197.5,1.59785290271
67,26,75380,2899.23076923,1.43356429599
68,27,85870,3180.37037037,1.54893621091
69,25,73800,2952.0,1.51192742828
70,22,64640,2938.18181818,1.53513934879
71,25,75450,3018.0,1.55507854378
72,21,54300,2585.71428571,1.56690209847
73,24,68760,2865.0,1.59489895254
74,24,78450,3268.75,1.62883280873
75,23,66980,2912.17391304,1.65007323153
76,23,67080,2916.52173913,1.4710074484
77,24,69580,2899.16666667,1.51241218131
78,24,72600,3025.0,1.43130241694
79,26,86630,3331.92307692,1.5528425483
80,23,67860,2950.43478261,1.49485738434
81,23,69930,3040.43478261,1.56416407004
82,24,66610,2775.41666667,1.52873768689
83,24,69800,2908.33333333,1.54548743073
84,27,82920,3071.11111111,1.6602223715
85,24,64120,2671.66666667,1.53343244106
86,24,74380,3099.16666667,1.53993271003
87,22,54040,2456.36363636,1.49332928287
88,23,65200,2834.7826087,1.51490851883
89,26,70010,2692.69230769,1.44525017165
90,23,69150,3006.52173913,1.66401807796
91,24,74670,3111.25,1.57588938821
92,20,46080,2304.0,1.60199384365
93,24,74060,3085.83333333,1.57109963845
94,26,78750,3028.84615385,1.50861437086
95,22,63950,2906.81818182,1.64511921249
96,23,70530,3066.52173913,1.5907042101
97,22,59610,2709.54545455,1.546775392
98,21,67010,3190.95238095,1.55619832281
99,25,82210,3288.4,1.58564334977
100,21,51470,2450.95238095,1.6511456904
