epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,15,580,38.6666666667,0.613059940292
2,16,850,53.125,0.611706846189
3,21,2270,108.095238095,0.769453562004
4,21,2210,105.238095238,0.867760592727
5,17,2260,132.941176471,0.796903406819
6,9,3180,353.333333333,0.858449934777
7,11,2720,247.272727273,1.05398268104
8,10,2245,224.5,1.04177683238
9,10,2355,235.5,1.01951153922
10,1,150,150.0,1.12393655926
11,1,70,70.0,1.00591019785
12,7,1240,177.142857143,1.14048474164
13,7,3170,452.857142857,1.11780239224
14,2,170,85.0,1.11816901942
15,6,4710,785.0,1.12161444378
16,9,2025,225.0,1.07852138122
17,7,5540,791.428571429,1.05038825301
18,2,1030,515.0,0.987586533595
19,8,2625,328.125,1.06100669039
20,9,3470,385.555555556,1.05785569545
21,8,3570,446.25,1.12631094158
22,10,2380,238.0,1.09819500491
23,7,4075,582.142857143,1.06340308734
24,8,3755,469.375,1.09553504311
25,11,2485,225.909090909,1.19642116386
26,7,4465,637.857142857,1.10950308222
27,1,340,340.0,1.09805642243
28,10,2345,234.5,1.16710723403
29,7,3275,467.857142857,1.02614055716
30,1,150,150.0,1.35827721867
31,7,4340,620.0,1.18554161738
32,10,2265,226.5,1.13584340991
33,11,2540,230.909090909,1.17023227442
34,9,2790,310.0,1.10715726358
35,6,4990,831.666666667,1.1285604874
36,11,3615,328.636363636,1.24356380129
37,7,3815,545.0,1.26609661669
38,9,2405,267.222222222,1.24345031449
39,10,2630,263.0,1.08496322677
40,15,2525,168.333333333,1.15011102907
41,10,2510,251.0,1.18814199899
42,7,2805,400.714285714,1.32816378591
43,11,2830,257.272727273,1.21192619693
44,5,2265,453.0,1.14149861756
45,11,2755,250.454545455,1.11563650587
46,8,1475,184.375,1.13554473141
47,11,3130,284.545454545,1.27215905121
48,14,2460,175.714285714,1.21947458291
49,12,3245,270.416666667,1.14867706888
50,1,740,740.0,1.15376318573
51,13,2760,212.307692308,1.19702039079
52,13,2835,218.076923077,1.16092539826
53,14,2665,190.357142857,1.16490163196
54,12,3335,277.916666667,1.12837809964
55,11,2830,257.272727273,1.11305507438
56,13,2760,212.307692308,1.06099548724
57,12,2555,212.916666667,1.07632390108
58,9,2205,245.0,1.04445425899
59,14,2595,185.357142857,1.0767579855
60,13,2470,190.0,1.13329952636
61,13,2485,191.153846154,1.08416162438
62,15,3510,234.0,1.06847001749
63,14,2800,200.0,1.08906905915
64,13,3555,273.461538462,1.08444938246
65,10,4800,480.0,1.00477772071
66,9,4670,518.888888889,1.07385554101
67,13,3415,262.692307692,1.10606258769
68,12,2210,184.166666667,0.988956242632
69,11,3455,314.090909091,1.04710506015
70,10,3970,397.0,1.10763026652
71,11,2825,256.818181818,1.09663179834
72,8,1610,201.25,1.06537950739
73,11,3050,277.272727273,1.05374625404
74,10,2800,280.0,1.09335577314
75,14,2460,175.714285714,1.05332608934
76,14,2270,162.142857143,1.03114333321
77,12,3525,293.75,1.0527196072
78,12,3070,255.833333333,0.989231540486
79,12,3615,301.25,1.07039348667
80,12,3995,332.916666667,1.05691381872
81,9,3440,382.222222222,1.04063819291
82,14,2895,206.785714286,1.04311576067
83,13,2925,225.0,1.00846667383
84,14,3130,223.571428571,1.04664051519
85,8,1805,225.625,1.05918997681
86,14,3055,218.214285714,0.991609945027
87,12,2900,241.666666667,1.03625413131
88,11,2925,265.909090909,0.992889279071
89,15,3210,214.0,1.03264527534
90,11,3335,303.181818182,1.0527882648
91,13,3830,294.615384615,1.00421361622
92,14,3110,222.142857143,1.00333940796
93,17,3340,196.470588235,1.02913351084
94,15,3100,206.666666667,0.950422014929
95,16,2920,182.5,1.01120300629
96,14,2605,186.071428571,0.988015602995
97,10,3815,381.5,0.993623105614
98,13,3005,231.153846154,0.999519990338
99,15,2940,196.0,0.974851399371
100,17,2930,172.352941176,0.9761059108
