epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,12,1500,125.0,3.28974651903
2,12,1900,158.333333333,2.09899396695
3,1,280,280.0,1.53178745089
4,4,725,181.25,1.30005193373
5,10,1775,177.5,1.31787054291
6,14,2120,151.428571429,1.11344110548
7,2,435,217.5,1.13104218408
8,10,1290,129.0,1.07470071169
9,1,140,140.0,0.956406000257
10,13,2250,173.076923077,0.938127955776
11,17,2205,129.705882353,1.05553180747
12,12,1400,116.666666667,1.01300180984
13,12,1645,137.083333333,1.05375223086
14,1,150,150.0,1.03672234093
15,1,70,70.0,0.901543011647
16,12,2080,173.333333333,0.921069967048
17,11,1445,131.363636364,0.948020051215
18,11,1550,140.909090909,0.897907339092
19,20,1930,96.5,0.897402247898
20,17,1955,115.0,1.05348469094
21,11,1330,120.909090909,0.958756415378
22,12,1815,151.25,0.921141767297
23,15,1545,103.0,0.909457556857
24,15,2060,137.333333333,0.984779151436
25,9,3040,337.777777778,0.945596471597
26,12,1455,121.25,0.967349886894
27,5,2175,435.0,0.97129874805
28,13,2160,166.153846154,1.00287100879
29,1,110,110.0,0.917225099923
30,13,2480,190.769230769,0.978281804649
31,11,3365,305.909090909,0.967525928523
32,6,1460,243.333333333,1.00467624638
33,15,2125,141.666666667,0.854082304481
34,15,1745,116.333333333,0.995790131697
35,7,1860,265.714285714,0.927281511221
36,5,840,168.0,0.957096681083
37,12,2245,187.083333333,0.934634423349
38,12,2785,232.083333333,0.947952058809
39,15,2245,149.666666667,0.879012384759
40,13,1645,126.538461538,0.91774161025
41,13,2325,178.846153846,0.875697600087
42,10,1325,132.5,0.790247760713
43,11,1345,122.272727273,0.903998780614
44,12,1520,126.666666667,0.896538406359
45,12,2470,205.833333333,0.792145843236
46,12,2020,168.333333333,0.939545414867
47,7,2870,410.0,0.948772361139
48,13,1895,145.769230769,0.947860684386
49,1,70,70.0,0.85881483539
50,11,2115,192.272727273,0.896361556863
51,11,1635,148.636363636,0.919241365148
52,10,2430,243.0,0.962471735878
53,13,2420,186.153846154,0.876902851537
54,11,1385,125.909090909,0.824365005549
55,11,2320,210.909090909,0.934485370629
56,13,2395,184.230769231,0.897146358639
57,10,2125,212.5,0.848172355434
58,1,150,150.0,0.851375716478
59,13,2155,165.769230769,0.804477291862
60,1,110,110.0,0.813631557077
61,9,2170,241.111111111,0.769996702569
62,12,2230,185.833333333,0.74913307786
63,1,110,110.0,0.763726524943
64,13,2335,179.615384615,0.778374363352
65,15,1900,126.666666667,0.86409818626
66,8,2180,272.5,0.88613461921
67,2,515,257.5,0.799207436116
68,11,1670,151.818181818,0.909385507926
69,9,2445,271.666666667,0.841963620409
70,2,665,332.5,0.851096436037
71,10,2595,259.5,0.922471636487
72,13,2250,173.076923077,0.828161963383
73,13,2735,210.384615385,0.831047838312
74,1,150,150.0,0.805559629686
75,12,1985,165.416666667,0.792375860484
76,9,2655,295.0,0.806210192237
77,12,1895,157.916666667,0.811389228161
78,12,2315,192.916666667,0.757625149097
79,7,3550,507.142857143,0.825073370328
80,16,2125,132.8125,0.794386355672
81,11,2735,248.636363636,0.818004847784
82,18,2020,112.222222222,0.916336250985
83,16,2210,138.125,0.821647068504
84,11,2265,205.909090909,0.799956436176
85,10,2735,273.5,0.858900960265
86,11,2215,201.363636364,0.779975254647
87,6,1135,189.166666667,0.823931995137
88,6,1830,305.0,0.783981320858
89,12,2495,207.916666667,0.812204746008
90,15,2105,140.333333333,0.820141536873
91,1,90,90.0,0.881965509467
92,16,1470,91.875,0.817804024527
93,3,730,243.333333333,0.820602703812
94,13,2300,176.923076923,0.8941916651
95,10,2640,264.0,0.775296069421
96,13,1730,133.076923077,0.90901531362
97,14,2530,180.714285714,0.837631929303
98,14,2660,190.0,0.790694701103
99,10,1960,196.0,0.791174126845
100,11,1945,176.818181818,0.779711883273
