epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,1,120,120.0,3.68864481505
2,9,1020,113.333333333,3.00200084779
3,12,1975,164.583333333,2.10956665913
4,9,1065,118.333333333,1.9195986364
5,1,90,90.0,1.7323115715
6,5,635,127.0,1.48030901121
7,13,1810,139.230769231,1.20905329892
8,4,560,140.0,1.2543189998
9,16,1890,118.125,1.21267720265
10,9,2025,225.0,1.20979841763
11,12,1400,116.666666667,1.1282642862
12,2,500,250.0,1.08682540137
13,14,2040,145.714285714,1.01613241095
14,16,2400,150.0,1.08194313459
15,13,2105,161.923076923,1.01416829061
16,16,1910,119.375,1.04159280032
17,12,1905,158.75,1.01188665437
18,18,2210,122.777777778,1.00324117864
19,16,2010,125.625,1.00227656579
20,1,70,70.0,0.94335802244
21,20,1915,95.75,0.924962214716
22,17,2165,127.352941176,0.930693591554
23,17,1780,104.705882353,0.906069491683
24,1,150,150.0,0.89519702917
25,13,1945,149.615384615,0.935079230461
26,15,1990,132.666666667,0.905318582766
27,1,70,70.0,0.90321511738
28,14,1940,138.571428571,0.921315150466
29,17,1780,104.705882353,0.929241663534
30,8,1825,228.125,0.903257127972
31,13,2475,190.384615385,0.818669532724
32,14,2550,182.142857143,0.921708462639
33,17,2200,129.411764706,0.853413702641
34,10,1180,118.0,0.848368262211
35,10,1530,153.0,0.899494979475
36,11,2165,196.818181818,0.850651195077
37,8,1800,225.0,0.878266245155
38,14,2170,155.0,0.863250713507
39,18,2135,118.611111111,0.834144617934
40,11,1920,174.545454545,0.913619475253
41,10,1810,181.0,0.82748133637
42,14,1890,135.0,0.858007817231
43,13,2400,184.615384615,0.854870544216
44,5,615,123.0,0.867106646448
45,17,2000,117.647058824,0.838359895917
46,1,70,70.0,0.824033076037
47,1,80,80.0,0.830846496951
48,12,2540,211.666666667,0.775411841534
49,11,1765,160.454545455,0.843164266618
50,18,1895,105.277777778,0.82514996157
51,15,2155,143.666666667,0.886229171632
52,11,2100,190.909090909,0.84348383504
53,14,2360,168.571428571,0.86981911514
54,12,2300,191.666666667,0.84410959376
55,14,1775,126.785714286,0.823588451436
56,1,70,70.0,0.827193647381
57,13,2260,173.846153846,0.850653698603
58,9,2335,259.444444444,0.851498791687
59,5,430,86.0,0.822159960438
60,10,2560,256.0,0.819274443667
61,1,265,265.0,0.87179986937
62,6,1035,172.5,0.798666742854
63,6,1075,179.166666667,0.812754347445
64,15,2110,140.666666667,0.800301986132
65,14,2070,147.857142857,0.815322543867
66,15,2040,136.0,0.81905487299
67,14,1940,138.571428571,0.819151387326
68,13,2355,181.153846154,0.826094490271
69,19,2455,129.210526316,0.750911351638
70,9,2600,288.888888889,0.778524019057
71,9,2380,264.444444444,0.877479908466
72,2,530,265.0,0.801655232999
73,14,2480,177.142857143,0.822422774788
74,9,1605,178.333333333,0.77411352627
75,6,1665,277.5,0.836256073201
76,15,2575,171.666666667,0.78734884778
77,16,2465,154.0625,0.799236322735
78,10,1605,160.5,0.820639565811
79,13,2460,189.230769231,0.746335078552
80,15,2435,162.333333333,0.774619882442
81,15,2180,145.333333333,0.740342830028
82,15,2910,194.0,0.803700533975
83,12,2680,223.333333333,0.828271792382
84,12,2665,222.083333333,0.795315745166
85,12,2185,182.083333333,0.809838075172
86,12,2130,177.5,0.819686201559
87,15,2440,162.666666667,0.799284901833
88,16,2570,160.625,0.7514604095
89,17,2705,159.117647059,0.786148779886
90,1,70,70.0,0.80668063934
91,12,1960,163.333333333,0.805500526913
92,12,2945,245.416666667,0.752537159175
93,12,2480,206.666666667,0.788761925045
94,17,2205,129.705882353,0.793174708495
95,2,375,187.5,0.772032275721
96,11,2785,253.181818182,0.779799576532
97,10,3395,339.5,0.802083078455
98,11,1835,166.818181818,0.773669734262
99,15,2610,174.0,0.773229091736
100,17,2385,140.294117647,0.79007395885
