epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,16,3245,202.8125,1.0232039685
2,23,3340,145.217391304,1.352311221
3,12,4745,395.416666667,1.23253179288
4,15,3640,242.666666667,1.36906039631
5,18,4055,225.277777778,1.12273291843
6,16,4035,252.1875,1.26046311014
7,16,5380,336.25,1.44452017271
8,15,4870,324.666666667,1.46402757579
9,15,5355,357.0,1.36717786771
10,14,5060,361.428571429,1.26404326856
11,14,5605,400.357142857,1.25298662368
12,16,5040,315.0,1.28089435369
13,16,5830,364.375,1.25955945084
14,15,5235,349.0,1.27303009588
15,15,5575,371.666666667,1.22521416364
16,15,5495,366.333333333,1.18834303089
17,17,5105,300.294117647,1.17180911676
18,13,5660,435.384615385,1.22288368417
19,18,5430,301.666666667,1.20027316958
20,16,5750,359.375,1.22338758929
21,15,5720,381.333333333,1.29986335304
22,14,6615,472.5,1.24376987429
23,15,5995,399.666666667,1.23042109799
24,13,6550,503.846153846,1.22353927048
25,13,5620,432.307692308,1.25539683038
26,14,6605,471.785714286,1.30428271
27,14,6550,467.857142857,1.33014803159
28,14,6460,461.428571429,1.28946057479
29,13,5655,435.0,1.31295936988
30,13,5640,433.846153846,1.3002641675
31,16,6140,383.75,1.28455733141
32,16,6010,375.625,1.28920245924
33,16,5730,358.125,1.29780366365
34,12,5620,468.333333333,1.34532056102
35,14,5855,418.214285714,1.3574770564
36,14,5880,420.0,1.38983660303
37,13,5930,456.153846154,1.38830531854
38,15,5460,364.0,1.26599066404
39,14,5990,427.857142857,1.42218769355
40,14,5880,420.0,1.27325229914
41,14,6460,461.428571429,1.35211868922
42,14,5935,423.928571429,1.34520569325
43,15,6405,427.0,1.40419731579
44,14,6045,431.785714286,1.41177427853
45,16,4835,302.1875,1.42001515799
46,14,6030,430.714285714,1.40231862301
47,15,5990,399.333333333,1.30325786876
48,13,6160,473.846153846,1.45848661778
49,13,6715,516.538461538,1.46592019625
50,13,5860,450.769230769,1.36355847567
51,16,5945,371.5625,1.34118776566
52,15,6125,408.333333333,1.40489102957
53,15,5985,399.0,1.33038004537
54,14,6715,479.642857143,1.39125067708
55,16,5795,362.1875,1.3465068595
56,16,6240,390.0,1.36852564122
57,13,5805,446.538461538,1.32912132422
58,16,5385,336.5625,1.33476050699
59,14,6055,432.5,1.38161466496
60,16,6200,387.5,1.3464716536
61,15,6640,442.666666667,1.25630257963
62,14,6385,456.071428571,1.29277833091
63,13,5675,436.538461538,1.43669231836
64,14,6195,442.5,1.35787477273
65,13,6165,474.230769231,1.30119449604
66,16,5695,355.9375,1.29095492918
67,14,6865,490.357142857,1.36584587529
68,14,6470,462.142857143,1.35999795439
69,16,5770,360.625,1.26221866094
70,16,6065,379.0625,1.26021303078
71,15,5270,351.333333333,1.34043968525
72,15,6100,406.666666667,1.27910172786
73,12,6165,513.75,1.30829396402
74,14,6520,465.714285714,1.27347123287
75,13,5480,421.538461538,1.29482155748
76,17,6445,379.117647059,1.27766361933
77,15,5870,391.333333333,1.31472633427
78,14,6330,452.142857143,1.27511116195
79,14,6080,434.285714286,1.24026575531
80,15,6535,435.666666667,1.2829935817
81,15,6160,410.666666667,1.26311364692
82,14,6535,466.785714286,1.25681969088
83,13,6910,531.538461538,1.28726695874
84,16,6760,422.5,1.28335903334
85,13,5875,451.923076923,1.2346438569
86,15,6165,411.0,1.26540684341
87,17,6145,361.470588235,1.25199451893
88,15,6735,449.0,1.22495000657
89,13,6375,490.384615385,1.15197540818
90,14,6550,467.857142857,1.25109694606
91,15,6265,417.666666667,1.21603857305
92,14,5590,399.285714286,1.19898434085
93,13,6210,477.692307692,1.18951780669
94,16,6100,381.25,1.16522766847
95,16,6410,400.625,1.23792195985
96,16,6020,376.25,1.25329386709
97,12,6385,532.083333333,1.2178015472
98,15,6475,431.666666667,1.30072712792
99,13,6565,505.0,1.29053856152
100,14,6705,478.928571429,1.32123247478
