epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,12,2480,206.666666667,1.94571764932
2,11,1050,95.4545454545,1.77261701351
3,13,1970,151.538461538,1.37612378831
4,9,1755,195.0,1.24259746816
5,12,2025,168.75,1.07542995879
6,14,2145,153.214285714,1.07623414071
7,20,1785,89.25,0.988339490527
8,13,1470,113.076923077,0.912489073845
9,16,2165,135.3125,0.932401323225
10,9,1350,150.0,0.889951197626
11,17,2090,122.941176471,0.940805413555
12,13,1985,152.692307692,0.839362514839
13,18,2245,124.722222222,0.879757670909
14,2,245,122.5,0.898816738538
15,10,1795,179.5,0.868447300289
16,19,2105,110.789473684,0.804947592905
17,12,1660,138.333333333,0.869675670369
18,14,1885,134.642857143,0.775356933083
19,18,2170,120.555555556,0.834375062296
20,21,2110,100.476190476,0.728792732321
21,11,2030,184.545454545,0.804397719391
22,13,2225,171.153846154,0.797196114315
23,14,2020,144.285714286,0.765754943024
24,17,1990,117.058823529,0.786938013313
25,9,1690,187.777777778,0.75531782751
26,17,1890,111.176470588,0.77977943792
27,8,1015,126.875,0.779603458978
28,15,1965,131.0,0.852935785996
29,10,1955,195.5,0.760907900762
30,13,2035,156.538461538,0.772891246444
31,19,2205,116.052631579,0.796145963231
32,16,2370,148.125,0.755930652795
33,13,2800,215.384615385,0.752249939609
34,11,1580,143.636363636,0.806195534868
35,18,2410,133.888888889,0.817830249658
36,19,2395,126.052631579,0.791811022544
37,19,2010,105.789473684,0.761739525683
38,17,1780,104.705882353,0.780755693289
39,11,1720,156.363636364,0.767372403042
40,15,1925,128.333333333,0.75781378475
41,17,2470,145.294117647,0.762063119551
42,18,1705,94.7222222222,0.776535154469
43,14,2275,162.5,0.795929171862
44,12,1935,161.25,0.767369301151
45,15,2105,140.333333333,0.753082081107
46,13,2330,179.230769231,0.809617327433
47,11,2650,240.909090909,0.812359362794
48,4,495,123.75,0.744385807998
49,16,2430,151.875,0.784517750507
50,16,2500,156.25,0.775490921549
51,14,2545,181.785714286,0.760398007296
52,17,1995,117.352941176,0.725014348011
53,14,1910,136.428571429,0.753649801034
54,12,2360,196.666666667,0.773005811684
55,17,2315,136.176470588,0.732088979818
56,10,1630,163.0,0.738109938856
57,5,1900,380.0,0.762032407224
58,20,2550,127.5,0.749373105494
59,17,1945,114.411764706,0.734922647486
60,15,2725,181.666666667,0.764014936695
61,13,2240,172.307692308,0.706058619646
62,13,1980,152.307692308,0.728352735462
63,17,2395,140.882352941,0.762533889059
64,15,2465,164.333333333,0.75207396863
65,14,2640,188.571428571,0.719084952772
66,22,2285,103.863636364,0.752130227275
67,4,705,176.25,0.770528157698
68,16,2175,135.9375,0.737647287548
69,16,3320,207.5,0.767175944401
70,16,2520,157.5,0.805940445643
71,18,2665,148.055555556,0.745109484205
72,13,2400,184.615384615,0.773167388886
73,19,2480,130.526315789,0.719043436265
74,19,2350,123.684210526,0.734033445558
75,15,2145,143.0,0.792707675649
76,17,2365,139.117647059,0.774904333027
77,11,2415,219.545454545,0.766810836503
78,11,2485,225.909090909,0.718336376157
79,18,2355,130.833333333,0.766523764171
80,13,2555,196.538461538,0.754261179054
81,15,2915,194.333333333,0.790709795691
82,14,2350,167.857142857,0.751043870943
83,11,2825,256.818181818,0.753042520499
84,14,2920,208.571428571,0.774270373676
85,17,2715,159.705882353,0.770067666098
86,13,2515,193.461538462,0.73784197567
87,20,2645,132.25,0.706077358434
88,13,2850,219.230769231,0.788063564161
89,16,2620,163.75,0.777200507391
90,16,2185,136.5625,0.718896839935
91,13,2940,226.153846154,0.726874260008
92,16,2820,176.25,0.72706047738
93,7,2270,324.285714286,0.742547333576
94,14,2725,194.642857143,0.753830676237
95,16,2515,157.1875,0.735011564847
96,14,2230,159.285714286,0.790999607658
97,20,2585,129.25,0.733631020989
98,11,4165,378.636363636,0.759258972174
99,19,2505,131.842105263,0.746367832646
100,22,2345,106.590909091,0.730560170291
