epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,21,2230,106.19047619,1.24619186766
2,20,1860,93.0,1.19055247976
3,18,3655,203.055555556,1.18241551642
4,14,4230,302.142857143,1.04520980417
5,21,2875,136.904761905,1.30790099288
6,14,4695,335.357142857,1.10394185688
7,18,3175,176.388888889,1.18347266146
8,15,4355,290.333333333,1.26399312559
9,16,4335,270.9375,1.22913412565
10,16,4830,301.875,1.1323033995
11,14,4365,311.785714286,1.2442167954
12,16,3155,197.1875,1.42562267725
13,16,3485,217.8125,1.09277438547
14,14,4840,345.714285714,1.15104856499
15,13,2655,204.230769231,1.35642832975
16,15,3005,200.333333333,1.3892783124
17,15,2835,189.0,1.55122316725
18,15,4010,267.333333333,1.30006462621
19,15,3575,238.333333333,1.30837268999
20,15,4360,290.666666667,1.22822847645
21,15,5080,338.666666667,1.24704956509
22,17,4580,269.411764706,1.36735544082
23,15,3920,261.333333333,1.54433654238
24,16,4710,294.375,1.21267006224
25,14,4585,327.5,1.33724827597
26,16,4255,265.9375,1.33501568862
27,18,4510,250.555555556,1.41282513532
28,16,5375,335.9375,1.29519035263
29,18,4060,225.555555556,1.66524637831
30,13,3555,273.461538462,1.39039891828
31,20,5210,260.5,1.46452421181
32,15,4010,267.333333333,1.35905351767
33,14,4590,327.857142857,1.47171599176
34,16,5160,322.5,1.3130499796
35,16,5220,326.25,1.43302566925
36,13,4460,343.076923077,1.32188492376
37,18,4295,238.611111111,1.42116887493
38,14,5355,382.5,1.42482307373
39,14,5095,363.928571429,1.36469348129
40,18,4505,250.277777778,1.37385093048
41,18,5735,318.611111111,1.52248603012
42,15,5840,389.333333333,1.44869959209
43,15,4685,312.333333333,1.43699046597
44,17,5670,333.529411765,1.50192625877
45,18,6370,353.888888889,1.52971786041
46,17,4370,257.058823529,1.43814474217
47,16,4920,307.5,1.56697102603
48,18,4510,250.555555556,1.59739845276
49,15,4765,317.666666667,1.4815796499
50,15,5125,341.666666667,1.34865866035
51,15,5165,344.333333333,1.44248391254
52,16,5595,349.6875,1.45370682292
53,17,5405,317.941176471,1.47123123059
54,13,5935,456.538461538,1.43130518237
55,17,6535,384.411764706,1.41950519245
56,16,5345,334.0625,1.36455378926
57,17,5005,294.411764706,1.48997500543
58,16,6215,388.4375,1.52137066305
59,18,5915,328.611111111,1.49963749786
60,14,4935,352.5,1.49623839766
61,15,5415,361.0,1.39030957806
62,16,5615,350.9375,1.48624343745
63,15,6105,407.0,1.41638997318
64,17,5785,340.294117647,1.55707184719
65,16,5670,354.375,1.48901437492
66,15,5035,335.666666667,1.45769043704
67,16,5795,362.1875,1.45506326684
68,14,5220,372.857142857,1.39438301566
69,15,4930,328.666666667,1.43223733978
70,17,5595,329.117647059,1.40986349887
71,17,5065,297.941176471,1.42271077571
72,15,6350,423.333333333,1.35761216631
73,14,5790,413.571428571,1.32140547154
74,15,5625,375.0,1.35865801441
75,16,5245,327.8125,1.40636551976
76,16,6170,385.625,1.39660245433
77,18,5655,314.166666667,1.34621231189
78,16,5645,352.8125,1.32683213757
79,16,6200,387.5,1.31121331634
80,15,5850,390.0,1.28543438546
81,15,5395,359.666666667,1.32488403098
82,15,5560,370.666666667,1.35191446202
83,16,5910,369.375,1.34872839458
84,18,5975,331.944444444,1.35802021725
85,18,5430,301.666666667,1.39265647455
86,14,4960,354.285714286,1.3520429087
87,17,6320,371.764705882,1.26347707185
88,14,5960,425.714285714,1.361344081
89,15,5950,396.666666667,1.32055352019
90,14,6060,432.857142857,1.31494023941
91,16,6160,385.0,1.38492235851
92,14,6700,478.571428571,1.33738888576
93,16,5600,350.0,1.30237874064
94,13,5325,409.615384615,1.31591045975
95,14,6340,452.857142857,1.35254126687
96,14,5385,384.642857143,1.34410240265
97,15,5790,386.0,1.38031680342
98,15,5885,392.333333333,1.339615304
99,15,5985,399.0,1.37830960551
100,15,5765,384.333333333,1.33756817102
