epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,18,3225,179.166666667,1.77976483034
2,15,3130,208.666666667,1.66020325735
3,15,3630,242.0,1.20728931535
4,16,2745,171.5625,1.04463092729
5,17,2825,166.176470588,1.03082066506
6,14,3035,216.785714286,1.16227778107
7,23,3155,137.173913043,1.25223490709
8,15,3450,230.0,1.15647846023
9,17,3660,215.294117647,1.10414575737
10,15,2660,177.333333333,1.23024933705
11,16,3445,215.3125,1.07605036544
12,16,2480,155.0,1.12318869023
13,15,3330,222.0,1.12566307878
14,15,4990,332.666666667,1.11926732412
15,16,3400,212.5,1.18359724957
16,15,3805,253.666666667,1.25677046264
17,18,1855,103.055555556,1.24691654705
18,14,2940,210.0,1.27936429521
19,13,4095,315.0,1.19829925057
20,15,5445,363.0,1.18039813858
21,17,4310,253.529411765,1.22761568494
22,14,4065,290.357142857,1.27558193093
23,16,4130,258.125,1.20266292658
24,19,3900,205.263157895,1.28340718316
25,18,3255,180.833333333,1.44397518096
26,15,3080,205.333333333,1.33111603264
27,16,5315,332.1875,1.43855452737
28,18,3920,217.777777778,1.45599766629
29,15,4050,270.0,1.22604661686
30,22,4505,204.772727273,1.50977345875
31,17,4325,254.411764706,1.30543769257
32,17,3180,187.058823529,1.40245071121
33,15,3930,262.0,1.43769662781
34,14,3470,247.857142857,1.45482014552
35,16,3600,225.0,1.30210915469
36,13,3685,283.461538462,1.33468150616
37,19,5000,263.157894737,1.39084921397
38,16,5160,322.5,1.30688282048
39,14,4325,308.928571429,1.29717612889
40,18,3940,218.888888889,1.36149840917
41,15,5450,363.333333333,1.29026517987
42,14,4820,344.285714286,1.37644200282
43,16,5440,340.0,1.43269715555
44,14,5195,371.071428571,1.4981174578
45,15,3960,264.0,1.39717115093
46,14,5330,380.714285714,1.43811068743
47,16,5420,338.75,1.39361452907
48,14,6065,433.214285714,1.57058671158
49,13,5470,420.769230769,1.35946715036
50,16,4745,296.5625,1.38785209637
51,15,4745,316.333333333,1.4035481021
52,14,5205,371.785714286,1.35603741623
53,13,5185,398.846153846,1.3499055847
54,15,4305,287.0,1.39792874269
55,14,4760,340.0,1.3840225376
56,16,6280,392.5,1.31386934225
57,14,4750,339.285714286,1.33304411529
58,14,5335,381.071428571,1.41442214496
59,14,5825,416.071428571,1.24062362291
60,16,5270,329.375,1.44264877647
61,14,5220,372.857142857,1.43074328268
62,13,4150,319.230769231,1.44727879127
63,14,5265,376.071428571,1.31693667995
64,17,5570,327.647058824,1.36965936305
65,15,5190,346.0,1.24410393253
66,16,6295,393.4375,1.45482537007
67,14,5015,358.214285714,1.30099622129
68,15,4795,319.666666667,1.31210571624
69,14,5110,365.0,1.26759779418
70,15,5005,333.666666667,1.34445090666
71,14,6280,448.571428571,1.29998003548
72,15,4580,305.333333333,1.20528569398
73,15,5255,350.333333333,1.33576903747
74,16,4780,298.75,1.28324921606
75,14,5700,407.142857143,1.31947039353
76,17,4640,272.941176471,1.25716079356
77,13,5035,387.307692308,1.24836501865
78,15,4980,332.0,1.29237733545
79,15,4965,331.0,1.2652017731
80,14,5480,391.428571429,1.27949659819
81,20,4405,220.25,1.3511502225
82,16,5285,330.3125,1.28043554483
83,16,4650,290.625,1.2807837748
84,17,4685,275.588235294,1.38503034938
85,15,4470,298.0,1.36505427608
86,15,5095,339.666666667,1.18876595054
87,11,4775,434.090909091,1.33831435764
88,15,5600,373.333333333,1.31936402971
89,16,5150,321.875,1.34461797711
90,17,4965,292.058823529,1.29559624966
91,15,5335,355.666666667,1.29918108931
92,18,4400,244.444444444,1.41790026467
93,15,5420,361.333333333,1.3371684311
94,12,5025,418.75,1.38333330173
95,13,5610,431.538461538,1.36333772475
96,14,5775,412.5,1.24836471649
97,14,4225,301.785714286,1.32810934242
98,14,5805,414.642857143,1.39219048463
99,13,5840,449.230769231,1.33991155732
100,17,4710,277.058823529,1.35316417145
