epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,15,3320,221.333333333,1.04916452593
2,18,4445,246.944444444,1.06791646464
3,17,4740,278.823529412,1.16535194941
4,19,4185,220.263157895,1.12726889659
5,18,4120,228.888888889,1.16223421202
6,17,4125,242.647058824,1.21401499373
7,14,4875,348.214285714,1.23919483573
8,15,5485,365.666666667,1.15988069841
9,16,4615,288.4375,1.31952337647
10,13,4025,309.615384615,1.2308141468
11,14,5140,367.142857143,1.23024962168
12,14,5395,385.357142857,1.34096107994
13,16,5465,341.5625,1.3579270221
14,15,5195,346.333333333,1.19283058061
15,14,5755,411.071428571,1.27916594598
16,15,5185,345.666666667,1.28134836053
17,17,5555,326.764705882,1.35229694379
18,15,6045,403.0,1.19458698168
19,17,6410,377.058823529,1.19480686903
20,15,4810,320.666666667,1.21792419507
21,14,5065,361.785714286,1.1943085749
22,13,4625,355.769230769,1.31034006247
23,15,5205,347.0,1.29274378936
24,14,5855,418.214285714,1.23554790156
25,16,6280,392.5,1.21480214929
26,15,6475,431.666666667,1.29120845324
27,15,5010,334.0,1.3120404083
28,15,4585,305.666666667,1.38445676439
29,15,5105,340.333333333,1.32259036824
30,15,4990,332.666666667,1.28540475764
31,13,5625,432.692307692,1.37920063466
32,15,5605,373.666666667,1.42096364668
33,14,5495,392.5,1.42404713542
34,16,6265,391.5625,1.3336382769
35,13,5155,396.538461538,1.27020348195
36,15,6175,411.666666667,1.45362920834
37,15,5860,390.666666667,1.44454363298
38,15,5630,375.333333333,1.42202443365
39,14,6440,460.0,1.39192528963
40,14,5855,418.214285714,1.36578433699
41,15,5850,390.0,1.34430344354
42,13,6190,476.153846154,1.31329556408
43,12,6475,539.583333333,1.30638047988
44,15,5440,362.666666667,1.34936441706
45,13,6445,495.769230769,1.24353399873
46,16,5760,360.0,1.27164716549
47,15,5715,381.0,1.14811283314
48,14,5500,392.857142857,1.25105932765
49,17,6320,371.764705882,1.18164684631
50,12,5980,498.333333333,1.20272710569
51,15,6610,440.666666667,1.17777993708
52,15,6295,419.666666667,1.17800303739
53,15,6755,450.333333333,1.14166439204
54,18,5920,328.888888889,1.24993954531
55,13,5715,439.615384615,1.21433877705
56,15,5920,394.666666667,1.28298968122
57,14,6265,447.5,1.18933050785
58,12,5905,492.083333333,1.26270762648
59,14,5470,390.714285714,1.19594140302
60,13,5610,431.538461538,1.21986331292
61,14,6065,433.214285714,1.21208693034
62,14,5550,396.428571429,1.19292548925
63,15,5305,353.666666667,1.22544249994
64,15,5720,381.333333333,1.21341132009
65,16,6000,375.0,1.16650529815
66,13,5880,452.307692308,1.28129796441
67,14,6205,443.214285714,1.18023649401
68,15,6040,402.666666667,1.23957702704
69,19,5385,283.421052632,1.12529235112
70,14,5700,407.142857143,1.18705203151
71,16,5625,351.5625,1.18006575647
72,15,5730,382.0,1.17857174241
73,13,5450,419.230769231,1.19372034276
74,15,6140,409.333333333,1.17071444101
75,15,5910,394.0,1.23495511361
76,13,5915,455.0,1.20732508349
77,16,5960,372.5,1.22620825954
78,14,5515,393.928571429,1.22789086401
79,14,5600,400.0,1.18773749154
80,16,5690,355.625,1.26072269881
81,18,5635,313.055555556,1.09192610651
82,14,6195,442.5,1.21771277838
83,15,6115,407.666666667,1.20669904231
84,16,5810,363.125,1.22110514895
85,15,6220,414.666666667,1.14375439259
86,15,5450,363.333333333,1.17352204301
87,15,6145,409.666666667,1.2088570734
88,15,6325,421.666666667,1.24607223392
89,13,6760,520.0,1.29009919406
90,17,5485,322.647058824,1.13711173422
91,13,5960,458.461538462,1.16198835204
92,13,5870,451.538461538,1.16374488967
93,15,5100,340.0,1.1638277957
94,15,6425,428.333333333,1.23102576365
95,16,5790,361.875,1.13369058746
96,13,6490,499.230769231,1.10929145068
97,14,5705,407.5,1.23054761921
98,13,6545,503.461538462,1.0688167525
99,13,5760,443.076923077,1.08787659705
100,16,5950,371.875,1.11644832429
